Run,tissue
SRR23422485,C leaf
SRR23422487,C leaf
SRR23422488,C leaf
SRR23422489,C leaf
SRR23422490,A leaf
SRR23422491,A leaf
SRR23422492,A leaf
SRR23422493,A leaf
SRR23422494,A leaf
SRR23422774,E3 leaf
SRR23422775,E3 leaf
SRR23422776,E3 leaf
SRR23422777,E3 leaf
SRR23422778,E3 leaf
SRR23422859,E2 leaf
SRR23422860,E2 leaf
SRR23422864,E2 leaf
SRR23422865,E2 leaf
SRR23422866,E2 leaf
SRR23422867,E1 leaf
SRR23422868,E1 leaf
SRR23422869,E1 leaf
SRR23422870,E1 leaf
SRR23422871,E1 leaf
SRR23422495,Root
SRR23422496,Root
SRR23422498,Root
SRR23422499,Root
SRR23422763,Herbaceous stem
SRR23422764,Herbaceous stem
SRR23422765,Herbaceous stem
SRR23422766,Herbaceous stem
SRR23422767,Herbaceous stem
SRR23422768,Shoot apex
SRR23422769,Shoot apex
SRR23422771,Shoot apex
SRR23422772,Shoot apex
SRR23422773,Shoot apex
SRR23422753,Old orthotropic axillary bud
SRR23422754,Old orthotropic axillary bud
SRR23422755,Old orthotropic axillary bud
SRR23422756,Old orthotropic axillary bud
SRR23422757,Young orthotropic axillary bud
SRR23422758,Young orthotropic axillary bud
SRR23422760,Young orthotropic axillary bud
SRR23422761,Young orthotropic axillary bud
SRR23422762,Young orthotropic axillary bud
